full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized,text_lemmatized,pos,neg,neu,label
Tokped pakai sicepat tuh tidak cepat anjir ganti saja SILAMBATTTTTTTT,Tokped pakai tuh tidak cepat anjir ganti saja SILAMBATTTTTTTT,"tokopedia uses, it's not fast, just replace the silamba tt",tokopedia uses fast replace silamba tt,"['tokopedia', 'uses', 'fast', 'replace', 'silamba', 'tt']","['tokopedia', 'us', 'fast', 'replace', 'silamba', 'tt']",tokopedia us fast replace silamba tt,0.231,0.0,0.769,positive
Diproses pengantaran setelah ditelp ke JNE Puri Mansion Kalo tidak ditlp tidak ada pergerakan Kapan JNE mau berobah Bandingkan dgn kurir lain spt JampT idex sicepat walaupun Sabtu kecuali tanggal Merah tetap diantar tidak peduli rumah atau ruko Khontholllah,Diproses pengantaran setelah ditelp ke Puri Mansion Kalo tidak ditlp tidak ada pergerakan Kapan mau berobah Bandingkan dgn kurir lain spt JampT idex walaupun Sabtu kecuali tanggal Merah tetap diantar tidak peduli rumah atau ruko Khontholllah,processed delivery after being telp to the puri mansion if not ditlp there is no movement when you want to change with other couriers such as jampt idex even though saturday except the red date is still delivered no matter the house or khonthollah shophouse,processed delivery telp puri mansion ditlp movement want change couriers jampt idex even though saturday except red date still delivered matter house khonthollah shophouse,"['processed', 'delivery', 'telp', 'puri', 'mansion', 'ditlp', 'movement', 'want', 'change', 'couriers', 'jampt', 'idex', 'even', 'though', 'saturday', 'except', 'red', 'date', 'still', 'delivered', 'matter', 'house', 'khonthollah', 'shophouse']","['process', 'delivery', 'telp', 'puri', 'mansion', 'ditlp', 'movement', 'want', 'change', 'courier', 'jampt', 'idex', 'even', 'though', 'saturday', 'except', 'red', 'date', 'still', 'deliver', 'matter', 'house', 'khonthollah', 'shophouse']",process delivery telp puri mansion ditlp movement want change courier jampt idex even though saturday except red date still deliver matter house khonthollah shophouse,0.098,0.0,0.902,positive
Chat customer service kaya bot ditanganin di mukut doang tetapi gaada hasil Waktu pertama kali chat padahal sudah saya tekantan paket sudah hari belum dtg tetapi hari ini baru dikasih tahu kalau setelah hari gabisa claim Di telepon juga tidak bisa Aneh,Chat customer service kaya bot ditanganin di mukut doang tetapi gaada hasil Waktu pertama kali chat padahal sudah saya tekantan paket sudah hari belum dtg tetapi hari ini baru dikasih tahu kalau setelah hari gabisa claim Di telepon juga tidak bisa Aneh,"customer service chat rich bot handled in mukut doang but there is no time for the first time chat even though i haven't been able to have the package, it's not yet dtg, but today i was told that after the day i can't claim on the phone, it can't be strange.",customer service chat rich bot handled mukut doang time first time chat even though able package yet dtg today told day cant claim phone cant strange,"['customer', 'service', 'chat', 'rich', 'bot', 'handled', 'mukut', 'doang', 'time', 'first', 'time', 'chat', 'even', 'though', 'able', 'package', 'yet', 'dtg', 'today', 'told', 'day', 'cant', 'claim', 'phone', 'cant', 'strange']","['customer', 'service', 'chat', 'rich', 'bot', 'handle', 'mukut', 'doang', 'time', 'first', 'time', 'chat', 'even', 'though', 'able', 'package', 'yet', 'dtg', 'today', 'told', 'day', 'cant', 'claim', 'phone', 'cant', 'strange']",customer service chat rich bot handle mukut doang time first time chat even though able package yet dtg today told day cant claim phone cant strange,0.178,0.0,0.822,positive
KAPOK DEHHHHHHHHHHH sicepat juga sama saja kadang kaya begitu,KAPOK DEHHHHHHHHHHH juga sama saja kadang kaya begitu,kapok dehh is the same as sometimes like that,kapok dehh sometimes like,"['kapok', 'dehh', 'sometimes', 'like']","['kapok', 'dehh', 'sometimes', 'like']",kapok dehh sometimes like,0.455,0.0,0.545,positive
TF haloo guys disini ada yang punya kontak kurir sicepat area Adiwerna Slawi atas nama Ibnu Bisri Mustopa atau kontak kurir sicepat siapa saja yang biasa pick up barang kalau ada boleh dibantu rep yaa terima kasih,TF haloo guys disini ada yang punya kontak kurir area Adiwerna Slawi atas nama Ibnu Bisri Mustopa atau kontak kurir siapa saja yang biasa pick up barang kalau ada boleh dibantu rep yaa terima kasih,"tf haloo guys, there are those who have the courier contact area of ​​adiwerna slawi on behalf of ibn bisri mustopa or courier contact anyone who used to pick up goods if there can be helped rep yaa thank you",tf haloo guys courier contact area adiwerna slawi behalf ibn bisri mustopa courier contact anyone used pick goods helped rep yaa thank,"['tf', 'haloo', 'guys', 'courier', 'contact', 'area', 'adiwerna', 'slawi', 'behalf', 'ibn', 'bisri', 'mustopa', 'courier', 'contact', 'anyone', 'used', 'pick', 'goods', 'helped', 'rep', 'yaa', 'thank']","['tf', 'haloo', 'guy', 'courier', 'contact', 'area', 'adiwerna', 'slawi', 'behalf', 'ibn', 'bisri', 'mustopa', 'courier', 'contact', 'anyone', 'use', 'pick', 'good', 'help', 'rep', 'yaa', 'thank']",tf haloo guy courier contact area adiwerna slawi behalf ibn bisri mustopa courier contact anyone use pick good help rep yaa thank,0.299,0.0,0.701,positive
saya jadinya kirim email mohon ditunggu responnya ya admin,saya jadinya kirim email mohon ditunggu responnya ya admin,"i will send an email, please wait for the response, admin",send email please wait response admin,"['send', 'email', 'please', 'wait', 'response', 'admin']","['send', 'email', 'please', 'wait', 'response', 'admin']",send email please wait response admin,0.315,0.0,0.685,positive
Kalo beli di tokped terus bebas ongkir gabisa ya diganti kurirnya biar bukan sicepat,Kalo beli di tokped terus bebas ongkir gabisa ya diganti kurirnya biar bukan,"if you buy it at tokopedia, it's free, it can't be replaced by the courier so it's not",buy tokopedia free cant replaced courier,"['buy', 'tokopedia', 'free', 'cant', 'replaced', 'courier']","['buy', 'tokopedia', 'free', 'cant', 'replace', 'courier']",buy tokopedia free cant replace courier,0.398,0.0,0.602,positive
Sekarang sicepat ada info ke wa gini ya Cm sama saja kalau kurir tidak sempet pick up alesannya selalu seller tutup atau paket belum siap padahal tiap req pick up saya stand by di rumah Bakal di pick up besoknya tetapi saya yang sudah stand by seharian Kesel dikit,Sekarang ada info ke wa gini ya Cm sama saja kalau kurir tidak sempet pick up alesannya selalu seller tutup atau paket belum siap padahal tiap req pick up saya stand by di rumah Bakal di pick up besoknya tetapi saya yang sudah stand by seharian Kesel dikit,"now there is info to wa, yes, it's the same, if the courier is not picking up, the alesale is always the seller, or the package is not ready, even though every req pick -up, i stand by at home, i will pick up the next day but i have stand by all day.",info wa yes same courier picking up alesale always seller package ready even though every req pick up stand home pick next day stand day,"['info', 'wa', 'yes', 'same', 'courier', 'picking', 'up', 'alesale', 'always', 'seller', 'package', 'ready', 'even', 'though', 'every', 'req', 'pick', 'up', 'stand', 'home', 'pick', 'next', 'day', 'stand', 'day']","['info', 'wa', 'yes', 'same', 'courier', 'pick', 'up', 'alesale', 'always', 'seller', 'package', 'ready', 'even', 'though', 'every', 'req', 'pick', 'up', 'stand', 'home', 'pick', 'next', 'day', 'stand', 'day']",info wa yes same courier pick up alesale always seller package ready even though every req pick up stand home pick next day stand day,0.184,0.0,0.816,positive
please dong admin kasih kejelasan atau minimal update di webnya lah sekarang sudah tanggal masalahnya update di webnya masih per juni lemot amat,please dong admin kasih kejelasan atau minimal update di webnya lah sekarang sudah tanggal masalahnya update di webnya masih per juni lemot amat,"please admin, admin, give me a clarity or at least an update on the website, now the date is the update on the website, it is still very slow as of june",please admin admin give clarity least update website date update website still slow june,"['please', 'admin', 'admin', 'give', 'clarity', 'least', 'update', 'website', 'date', 'update', 'website', 'still', 'slow', 'june']","['please', 'admin', 'admin', 'give', 'clarity', 'least', 'update', 'website', 'date', 'update', 'website', 'still', 'slow', 'june']",please admin admin give clarity least update website date update website still slow june,0.286,0.086,0.629,positive
pas di depok selalu dipickup saya nel makanya heran di sunter kek begini,pas di depok selalu dipickup saya nel makanya heran di sunter kek begini,"when i was in depok, i was always picked up so i wonder in sunter kek like this",depok always picked wonder sunter kek like,"['depok', 'always', 'picked', 'wonder', 'sunter', 'kek', 'like']","['depok', 'always', 'picked', 'wonder', 'sunter', 'kek', 'like']",depok always picked wonder sunter kek like,0.294,0.0,0.706,positive
tolong dicek paket dari tanggal tidak gerak tidak diantar terima kasih,tolong dicek paket dari tanggal tidak gerak tidak diantar terima kasih,please check the package from the date of not motion not delivered thank you,please check package date motion delivered thank,"['please', 'check', 'package', 'date', 'motion', 'delivered', 'thank']","['please', 'check', 'package', 'date', 'motion', 'deliver', 'thank']",please check package date motion deliver thank,0.49,0.0,0.51,positive
apa gwe samperin terus obrak abrik saja ini sicepat yang tidak cepat itu,apa gwe samperin terus obrak abrik saja ini yang tidak cepat itu,what is i just keep on just getting a fast that is not fast,keep getting fast fast,"['keep', 'getting', 'fast', 'fast']","['keep', 'get', 'fast', 'fast']",keep get fast fast,0.6,0.0,0.4,positive
Min DM saya tolong di respon,Min DM saya tolong di respon,"min, please respond",min please respond,"['min', 'please', 'respond']","['min', 'please', 'respond']",min please respond,0.535,0.0,0.465,positive
guys pengiriman yang cepet tu jntsicepat ya,guys pengiriman yang cepet tu jntsicepat ya,"guys, fast shipping, right?",guys fast shipping right,"['guys', 'fast', 'shipping', 'right']","['guy', 'fast', 'shipping', 'right']",guy fast shipping right,0.333,0.0,0.667,positive
Tolong dong admin paket saya sudah satu miggu belum dateng dan ngestuck di Palembang terus,Tolong dong admin paket saya sudah satu miggu belum dateng dan ngestuck di Palembang terus,"please admin, my package has not come for one week and ngestuck in palembang",please admin package come one week ngestuck palembang,"['please', 'admin', 'package', 'come', 'one', 'week', 'ngestuck', 'palembang']","['please', 'admin', 'package', 'come', 'one', 'week', 'ngestuck', 'palembang']",please admin package come one week ngestuck palembang,0.247,0.0,0.753,positive
iya keliatan kok itu galak sangat,iya keliatan kok itu galak sangat,"yes, it looks so fierce",yes looks fierce,"['yes', 'looks', 'fierce']","['yes', 'look', 'fierce']",yes look fierce,0.574,0.0,0.426,positive
gaada di sini tetapi favku JNT sicepat pernah ilangin paketku padahal pesen jauh sebelum lebaran nyampenya di bulan depan setelah lebaran mana CS dichat dighosting hadeh kejadian taun lalu terus kurir shopee pernah lempar paket dari atas pager padahal saya dah di luar sampe tu,gaada di sini tetapi favku pernah ilangin paketku padahal pesen jauh sebelum lebaran nyampenya di bulan depan setelah lebaran mana CS dichat dighosting hadeh kejadian taun lalu terus kurir shopee pernah lempar paket dari atas pager padahal saya dah di luar sampe tu,no here but my fav has a gap of my package even though the order is long before the eid even next month after eid where cs dichat is digested hadeh the incident of the year and then the shopee courier has thrown the package from the page even though i was outside until it arrived.,fav gap package even though order long eid even next month eid cs dichat digested hadeh incident year shopee courier thrown package page even though outside arrived,"['fav', 'gap', 'package', 'even', 'though', 'order', 'long', 'eid', 'even', 'next', 'month', 'eid', 'cs', 'dichat', 'digested', 'hadeh', 'incident', 'year', 'shopee', 'courier', 'thrown', 'package', 'page', 'even', 'though', 'outside', 'arrived']","['fav', 'gap', 'package', 'even', 'though', 'order', 'long', 'eid', 'even', 'next', 'month', 'eid', 'c', 'dichat', 'digest', 'hadeh', 'incident', 'year', 'shopee', 'courier', 'thrown', 'package', 'page', 'even', 'though', 'outside', 'arrive']",fav gap package even though order long eid even next month eid c dichat digest hadeh incident year shopee courier thrown package page even though outside arrive,0.103,0.0,0.897,positive
Norman Wright akan membantu Anda memahami mempraktekkan dan menerapkan keterampilan berkomunikasi untuk menolong Anda membangun hubungan yang sukses dgn orang yang berbeda dalam hidup AndaReady delivery kurir JNE Lion POS SiCepat WALine MAKE GREAT GENERATION,Norman Wright akan membantu Anda memahami mempraktekkan dan menerapkan keterampilan berkomunikasi untuk menolong Anda membangun hubungan yang sukses dgn orang yang berbeda dalam hidup AndaReady delivery kurir Lion WALine MAKE GREAT GENERATION,norman wright will help you understand practicing and applying communication skills to help you build successful relationships with different people in the life of andaready delivery courier lion waline make great geat,norman wright help understand practicing applying communication skills help build successful relationships different people life andaready delivery courier lion waline make great geat,"['norman', 'wright', 'help', 'understand', 'practicing', 'applying', 'communication', 'skills', 'help', 'build', 'successful', 'relationships', 'different', 'people', 'life', 'andaready', 'delivery', 'courier', 'lion', 'waline', 'make', 'great', 'geat']","['norman', 'wright', 'help', 'understand', 'practice', 'apply', 'communication', 'skill', 'help', 'build', 'successful', 'relationship', 'different', 'people', 'life', 'andaready', 'delivery', 'courier', 'lion', 'waline', 'make', 'great', 'geat']",norman wright help understand practice apply communication skill help build successful relationship different people life andaready delivery courier lion waline make great geat,0.412,0.0,0.588,positive
Muridku Ada yang namanya Lanang sama Gesit Yang Gesit suka kupanggil si Gesit kurirnya Sicepat Waktu SMP ada teman yang namanya Cantika,Muridku Ada yang namanya Lanang sama Gesit Yang Gesit suka kupanggil si Gesit kurirnya Waktu SMP ada teman yang namanya Cantika,my student has a name for lanang and nimble who likes to call the nimbies in middle school there is a friend whose name is cantika,student name lanang nimble likes call nimbies middle school friend whose name cantika,"['student', 'name', 'lanang', 'nimble', 'likes', 'call', 'nimbies', 'middle', 'school', 'friend', 'whose', 'name', 'cantika']","['student', 'name', 'lanang', 'nimble', 'like', 'call', 'nimby', 'middle', 'school', 'friend', 'whose', 'name', 'cantika']",student name lanang nimble like call nimby middle school friend whose name cantika,0.326,0.103,0.571,positive
Pengumuman Saat co shopee hanya bisa sicepat Kalau diluar itu gaakan saya kirim Makasi,Pengumuman Saat co shopee hanya bisa Kalau diluar itu gaakan saya kirim Makasi,"announcement when co shopee can only be outside that, i will send it to thanks",announcement co shopee outside that send thanks,"['announcement', 'co', 'shopee', 'outside', 'that', 'send', 'thanks']","['announcement', 'co', 'shopee', 'outside', 'that', 'send', 'thanks']",announcement co shopee outside that send thanks,0.326,0.0,0.674,positive
Itulah guys setiap susah jangan lupa beribadah Insya Allah jawabannya datang lebih cepat drpd sicepat,Itulah guys setiap susah jangan lupa beribadah Insya Allah jawabannya datang lebih cepat drpd,"that's the guys every time it's hard, don't forget to worship, god willing, the answer will come faster than",thats guys every time hard forget worship god willing answer come faster,"['thats', 'guys', 'every', 'time', 'hard', 'forget', 'worship', 'god', 'willing', 'answer', 'come', 'faster']","['thats', 'guy', 'every', 'time', 'hard', 'forget', 'worship', 'god', 'willing', 'answer', 'come', 'faster']",thats guy every time hard forget worship god willing answer come faster,0.276,0.212,0.513,positive
admin tolong dong ini paketku dari kemarin belum diantar ke rumah saya butuh barangnya buat hari ini,admin tolong dong ini paketku dari kemarin belum diantar ke rumah saya butuh barangnya buat hari ini,admin please please my package from yesterday not to be escorted to my house i need the goods for today,admin please please package yesterday escorted house need goods today,"['admin', 'please', 'please', 'package', 'yesterday', 'escorted', 'house', 'need', 'goods', 'today']","['admin', 'please', 'please', 'package', 'yesterday', 'escort', 'house', 'need', 'good', 'today']",admin please please package yesterday escort house need good today,0.517,0.0,0.483,positive
kayanya dia kerja di ekspedisi macam jnt atau sicepat deh kak cb iseng survey,kayanya dia kerja di ekspedisi macam atau deh kak cb iseng survey,i think he works in an expedition like or deh cb for a survey,think works expedition like deh cb survey,"['think', 'works', 'expedition', 'like', 'deh', 'cb', 'survey']","['think', 'work', 'expedition', 'like', 'deh', 'cb', 'survey']",think work expedition like deh cb survey,0.294,0.0,0.706,positive
Kalau di bogor tempat ku sicepat si nder Kurir pick upnya baik banget makanya bisa pick up cuman sebiji,Kalau di bogor tempat ku si nder Kurir pick upnya baik banget makanya bisa pick up cuman sebiji,"if in bogor where i the nder courier the pick up is really good, so i can pick up only",bogor nder courier pick really good pick,"['bogor', 'nder', 'courier', 'pick', 'really', 'good', 'pick']","['bogor', 'nder', 'courier', 'pick', 'really', 'good', 'pick']",bogor nder courier pick really good pick,0.347,0.0,0.653,positive
haloo buat yang need admin packing bisa dm saya yaaa dom Pasuruan Jatim dekat dengan spx sicepat jampt bahan packing bisa dari akuu ybboxbubble wrappolymer freebies dari saya juga bisaa insyaallah amanah fee bisa di bicarakan terlebih dahulu,haloo buat yang need admin packing bisa dm saya yaaa dom Pasuruan Jatim dekat dengan jampt bahan packing bisa dari akuu ybboxbubble wrappolymer freebies dari saya juga bisaa insyaallah amanah fee bisa di bicarakan terlebih dahulu,"hello, for those who need admin packing, you can dm, yeah, dom pasuruan, east java, close to the packing material, it can be from me ybboxbubble wrappolymer freebies from me can also god willing",hello need admin packing dm yeah dom pasuruan east java close packing material ybboxbubble wrappolymer freebies also god willing,"['hello', 'need', 'admin', 'packing', 'dm', 'yeah', 'dom', 'pasuruan', 'east', 'java', 'close', 'packing', 'material', 'ybboxbubble', 'wrappolymer', 'freebies', 'also', 'god', 'willing']","['hello', 'need', 'admin', 'pack', 'dm', 'yeah', 'dom', 'pasuruan', 'east', 'java', 'close', 'pack', 'material', 'ybboxbubble', 'wrappolymer', 'freebie', 'also', 'god', 'willing']",hello need admin pack dm yeah dom pasuruan east java close pack material ybboxbubble wrappolymer freebie also god willing,0.307,0.0,0.693,positive
sicepat yang tidak cepat,yang tidak cepat,which is not fast,fast,['fast'],['fast'],fast,1.0,0.0,0.0,positive
saya sudah whatsapp tetapi tidak membantu sama sekali aneh sekali ekspedisi seperti ini,saya sudah whatsapp tetapi tidak membantu sama sekali aneh sekali ekspedisi seperti ini,i have whatsapp but it doesn't help at all strange expeditions like this,whatsapp help strange expeditions like,"['whatsapp', 'help', 'strange', 'expeditions', 'like']","['whatsapp', 'help', 'strange', 'expedition', 'like']",whatsapp help strange expedition like,0.578,0.2,0.222,positive
Asli gapernah berhasil nyoba pickup tidak jnt sicepat jne sama semuanya pls,Asli gapernah berhasil nyoba pickup tidak sama semuanya pls,original gapernah managed to try the pickup not all of the pls,original gapernah managed try pickup pls,"['original', 'gapernah', 'managed', 'try', 'pickup', 'pls']","['original', 'gapernah', 'manage', 'try', 'pickup', 'pls']",original gapernah manage try pickup pls,0.474,0.0,0.526,positive
Huft tahu begitu drpd pakai sicepat mending pakai spx ish,Huft tahu begitu drpd pakai mending pakai ish,huft know so from using it better to use ish,huft know using better use ish,"['huft', 'know', 'using', 'better', 'use', 'ish']","['huft', 'know', 'use', 'well', 'use', 'ish']",huft know use well use ish,0.296,0.0,0.704,positive
Saya sudah difollow up melalui twitter Tolong dikasih pengarahan semua kurir dan siapapun yang menangani tolong dikirim dengan baik barangnya Karena itu pakai uang semua,Saya sudah difollow up melalui twitter Tolong dikasih pengarahan semua kurir dan siapapun yang menangani tolong dikirim dengan baik barangnya Karena itu pakai uang semua,"i have been followed up via twitter, please give the direction of all the couriers and anyone who handles it, please send it well because it uses all money",followed via twitter please give direction couriers anyone handles it please send well uses money,"['followed', 'via', 'twitter', 'please', 'give', 'direction', 'couriers', 'anyone', 'handles', 'it', 'please', 'send', 'well', 'uses', 'money']","['follow', 'via', 'twitter', 'please', 'give', 'direction', 'courier', 'anyone', 'handle', 'it', 'please', 'send', 'well', 'us', 'money']",follow via twitter please give direction courier anyone handle it please send well us money,0.358,0.0,0.642,positive
Kalau dirumah ada sicepat atau JNE JNT si pakai itu saja aktifin Kamu kalau sudah verifikasi KTP akunnya jadi pas tanggal kembar si customer bisa gratis ongkir walaupun minimal k biasanya sisanya nanti kamu refun Karena saya jualan di shopee Prelove an begitu,Kalau dirumah ada atau si pakai itu saja aktifin Kamu kalau sudah verifikasi KTP akunnya jadi pas tanggal kembar si customer bisa gratis ongkir walaupun minimal k biasanya sisanya nanti kamu refun Karena saya jualan di shopee Prelove an begitu,"if there is at home or just use it, activate you if you have verified the account id card so the customer's twin date can be free shipping even though at least the rest will be refused later because i sell it in shopee prelove",home use it activate verified account id card customers twin date free shipping even though least rest refused later sell shopee prelove,"['home', 'use', 'it', 'activate', 'verified', 'account', 'id', 'card', 'customers', 'twin', 'date', 'free', 'shipping', 'even', 'though', 'least', 'rest', 'refused', 'later', 'sell', 'shopee', 'prelove']","['home', 'use', 'it', 'activate', 'verify', 'account', 'id', 'card', 'customer', 'twin', 'date', 'free', 'shipping', 'even', 'though', 'least', 'rest', 'refuse', 'later', 'sell', 'shopee', 'prelove']",home use it activate verify account id card customer twin date free shipping even though least rest refuse later sell shopee prelove,0.129,0.086,0.784,positive
tolong cek DM yaa,tolong cek DM yaa,please check dm,please check dm,"['please', 'check', 'dm']","['please', 'check', 'dm']",please check dm,0.535,0.0,0.465,positive
cek pengiriman di shopee sama di cek resi lgsg kok beda ya progress nya,cek pengiriman di shopee sama di cek resi lgsg kok beda ya progress nya,"check the shipping in shopee the same in the lgg receipt check, how come the progress is different",check shipping shopee lgg receipt check come progress different,"['check', 'shipping', 'shopee', 'lgg', 'receipt', 'check', 'come', 'progress', 'different']","['check', 'shipping', 'shopee', 'lgg', 'receipt', 'check', 'come', 'progress', 'different']",check shipping shopee lgg receipt check come progress different,0.259,0.0,0.741,positive
coba saja kalau semua ekspedisi ada sistem pickup paket ky sicepat berapapun nominalnya juga saya ttp ladenin kalau mau co non event sekarang cuma sicepat kebijakan shopee aktifin shopee express wkwowkwk yang gamau pickup paket kaya jnt,coba saja kalau semua ekspedisi ada sistem pickup paket ky berapapun nominalnya juga saya ttp ladenin kalau mau co non event sekarang cuma kebijakan shopee aktifin shopee express wkwowkwk yang gamau pickup paket kaya,"try it if all the expeditions have a ky package pickup system, whatever nominal, i will also be ladenin if you want co non event now, only shopee policy to activate shopee express wkwowkwk who is not a rich package pickup package",try expeditions ky package pickup system whatever nominal also ladenin want co non event now shopee policy activate shopee express wkwowkwk rich package pickup package,"['try', 'expeditions', 'ky', 'package', 'pickup', 'system', 'whatever', 'nominal', 'also', 'ladenin', 'want', 'co', 'non', 'event', 'now', 'shopee', 'policy', 'activate', 'shopee', 'express', 'wkwowkwk', 'rich', 'package', 'pickup', 'package']","['try', 'expedition', 'ky', 'package', 'pickup', 'system', 'whatever', 'nominal', 'also', 'ladenin', 'want', 'co', 'non', 'event', 'now', 'shopee', 'policy', 'activate', 'shopee', 'express', 'wkwowkwk', 'rich', 'package', 'pickup', 'package']",try expedition ky package pickup system whatever nominal also ladenin want co non event now shopee policy activate shopee express wkwowkwk rich package pickup package,0.176,0.0,0.824,positive
Lah sudah tetapi tidak ngebantu sama sekali jawabannya bot,Lah sudah tetapi tidak ngebantu sama sekali jawabannya bot,already but not helping the answer at all the bot,already helping answer bot,"['already', 'helping', 'answer', 'bot']","['already', 'help', 'answer', 'bot']",already help answer bot,0.474,0.0,0.526,positive
kalau pakai jnt sangat dianter kalau ttp gabisa diretur sicepat sangat spx kurang tahu,kalau pakai sangat dianter kalau ttp gabisa diretur sangat kurang tahu,"if you use it, it is very delivered if you can still be well -known",use it delivered still well known,"['use', 'it', 'delivered', 'still', 'well', 'known']","['use', 'it', 'deliver', 'still', 'well', 'know']",use it deliver still well know,0.296,0.0,0.704,positive
