,full_text,cleaned_text,translated_text,stopwords,tweet_tokenize,tokens_lemmatized
10,sicepat tetep ekspedisi paling bagus se galaxy,tetep ekspedisi paling bagus se galaxy,still the best expedition in galaxy,still best expedition galaxy,"['still', 'best', 'expedition', 'galaxy']","['still', 'best', 'expedition', 'galaxy']"
11,bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,Bagaimna cara kerja sama franchise si cepat karena saya kirim email tidak ada respon sama sekali dan saya kontak via instagram tidak memberikan info franchise da dialihkan ke email sedangkan email tidak ada respon,how is the way the franchise is fast because i send an email there is no response at all and i contact via instagram does not provide franchise information and is transferred to the email while the email has no response,way franchise fast send email response contact via instagram provide franchise information transferred email email response,"['way', 'franchise', 'fast', 'send', 'email', 'response', 'contact', 'via', 'instagram', 'provide', 'franchise', 'information', 'transferred', 'email', 'email', 'response']","['way', 'franchise', 'fast', 'send', 'email', 'response', 'contact', 'via', 'instagram', 'provide', 'franchise', 'information', 'transfer', 'email', 'email', 'response']"
12,malah hilang kaa punyakuu,Malah hilang kaa punyakuu,"in fact, i lost kaa punakuu",fact lost kaa punakuu,"['fact', 'lost', 'kaa', 'punakuu']","['fact', 'lose', 'kaa', 'punakuu']"
13,hari ke  paket kami di mlng oknum hindari pakai lebih baik pake dll jne gak bertanggungjawab ni pak,Hari ke Paket kami di MLNG oknum Hindari Pakai Lebih baik pake dll gak bertanggungJawab ni pak,"day to our package in mlng individuals avoid using better using it, etc.",day package mlng individuals avoid using better using it etc,"['day', 'package', 'mlng', 'individuals', 'avoid', 'using', 'better', 'using', 'it', 'etc']","['day', 'package', 'mlng', 'individual', 'avoid', 'use', 'well', 'use', 'it', 'etc']"
14,sicepat aja,aja,just,,[],[]
15,update bukti nomor resi pengiriman via sicepat best next day jasa pengiriman via jne jampt sicepat pembayaran via transfer kami tidak melayani cod cek bukti nomor resi amp paket yang sudah sampai daftar menu,Update Bukti Nomor Resi Pengiriman Via BEST NEXT DAY Jasa pengiriman via JampT Pembayaran via transfer Kami tidak melayani COD Cek Bukti Nomor Resi amp Paket Yang Sudah Sampai Daftar Menu,update proof of shipping receipt number via best next day shipping service via jampt payment via transfer we do not serve cod check evidence of the package receipt number that has reached the menu list,update proof shipping receipt number via best next day shipping service via jampt payment via transfer serve cod check evidence package receipt number reached menu list,"['update', 'proof', 'shipping', 'receipt', 'number', 'via', 'best', 'next', 'day', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'evidence', 'package', 'receipt', 'number', 'reached', 'menu', 'list']","['update', 'proof', 'shipping', 'receipt', 'number', 'via', 'best', 'next', 'day', 'shipping', 'service', 'via', 'jampt', 'payment', 'via', 'transfer', 'serve', 'cod', 'check', 'evidence', 'package', 'receipt', 'number', 'reach', 'menu', 'list']"
16,bantu up juga dong paket dari tgl  juni sampe tgl  juni sekarang ga sampe sampe chat cs sampe datengin ke gudang langsung ga ada kejelasan di oper sana sini saling lempar ini terakhir update tgl ,Bantu up juga dong paket dari tgl Juni sampe tgl Juni sekarang ga sampe sampe chat cs sampe datengin ke gudang langsung ga ada kejelasan di oper sana sini saling lempar ini terakhir update tgl,"also help up the package from june until june now, it doesn't arrive until cs chat until you come to the warehouse, there is no clarity on the pass here and there, the last update on the date",also help package june june now arrive cs chat come warehouse clarity pass there last update date,"['also', 'help', 'package', 'june', 'june', 'now', 'arrive', 'cs', 'chat', 'come', 'warehouse', 'clarity', 'pass', 'there', 'last', 'update', 'date']","['also', 'help', 'package', 'june', 'june', 'now', 'arrive', 'c', 'chat', 'come', 'warehouse', 'clarity', 'pas', 'there', 'last', 'update', 'date']"
17,kurirnya kebiasaan gk pencet bel main tinggalin aja barang awas aja lain kali barang saya diambil org saya cari itu kurir,kurirnya kebiasaan gk pencet bel main tinggalin aja barang Awas aja lain kali barang saya diambil org saya cari itu kurir,"the courier is the habit of not pressing the bell, just leave the alert item, next time my item is taken by the person.",courier habit pressing bell leave alert item next time item taken person,"['courier', 'habit', 'pressing', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'taken', 'person']","['courier', 'habit', 'press', 'bell', 'leave', 'alert', 'item', 'next', 'time', 'item', 'take', 'person']"
18,mau dikirin lewat sicepat ga dede,MAU DIKIRIN LEWAT GA DEDE,want to be given through ga dede,want given ga dede,"['want', 'given', 'ga', 'dede']","['want', 'give', 'ga', 'dede']"
19,apotek berbagai macam gerai fampb amp pedagang kakilima deket salon yg banyak amp berjejer idk why deket rs klinik jampt sicepat lionparcel dll toko fotokopi toko perabot toko elektronik amp toko sembako taman and on top of that banyak pohon amp adem,apotek berbagai macam gerai fampb amp pedagang kakilima deket salon yg banyak amp berjejer idk why deket RS klinik jampt lionparcel dll toko fotokopi toko perabot toko elektronik amp toko sembako taman and on top of that banyak pohon amp adem,pharmacies various kinds of fampb amp traders close to the salon who have a lot of salon lined up idk why near the lionparcel jampt clinic hospital etc. photocopy shops of the furniture shop amps shops amps grocery shops and on top of that many trees are cool,pharmacies various kinds fampb amp traders close salon lot salon lined idk near lionparcel jampt clinic hospital etc photocopy shops furniture shop amps shops amps grocery shops top many trees cool,"['pharmacies', 'various', 'kinds', 'fampb', 'amp', 'traders', 'close', 'salon', 'lot', 'salon', 'lined', 'idk', 'near', 'lionparcel', 'jampt', 'clinic', 'hospital', 'etc', 'photocopy', 'shops', 'furniture', 'shop', 'amps', 'shops', 'amps', 'grocery', 'shops', 'top', 'many', 'trees', 'cool']","['pharmacy', 'various', 'kind', 'fampb', 'amp', 'trader', 'close', 'salon', 'lot', 'salon', 'line', 'idk', 'near', 'lionparcel', 'jampt', 'clinic', 'hospital', 'etc', 'photocopy', 'shop', 'furniture', 'shop', 'amp', 'shop', 'amp', 'grocery', 'shop', 'top', 'many', 'tree', 'cool']"
20,katanya tuh ada paket mau dikirim tapi alamatnya kurang jelas padahal biasanya aku pake alamat itu juga nyampe aja dan waktu aku pake jasa sicepat kapan itu juga nyampe aja paketnya,Katanya tuh ada paket mau dikirim tapi alamatnya kurang jelas padahal biasanya aku pake alamat itu juga nyampe aja dan waktu aku pake jasa kapan itu juga nyampe aja paketnya,he said there is a package to be sent but the address is unclear even though i usually use the address also arrive and when i use the services when it also arrives the package is,said package sent address unclear even though usually use address also arrive use services also arrives package,"['said', 'package', 'sent', 'address', 'unclear', 'even', 'though', 'usually', 'use', 'address', 'also', 'arrive', 'use', 'services', 'also', 'arrives', 'package']","['say', 'package', 'sent', 'address', 'unclear', 'even', 'though', 'usually', 'use', 'address', 'also', 'arrive', 'use', 'service', 'also', 'arrives', 'package']"
21,guys tiba tiba diminta shareloc sama org dari sicepat padahal aku gak ada mesen barang sama sekali pake sicepat kecuali minggu lalu dan itu pesanannya udah selesai masalahnya no hp nama and alamat bener punya aku tapi aku lagi gak ada mesen barang pake jasa sicepat,Guys tiba tiba diminta shareloc sama org dari padahal aku gak ada mesen barang sama sekali pake kecuali minggu lalu dan itu pesanannya udah selesai Masalahnya no hp nama and alamat bener punya aku tapi aku lagi gak ada mesen barang pake jasa,"guys suddenly asked shareloc and org from even though i didn't have the goods using at all except last week and the order had finished the problem with the name of the name and the address was really mine, but i didn't have the goods using the services using services",guys suddenly asked shareloc org even though goods using except last week order finished problem name name address really mine goods using services using services,"['guys', 'suddenly', 'asked', 'shareloc', 'org', 'even', 'though', 'goods', 'using', 'except', 'last', 'week', 'order', 'finished', 'problem', 'name', 'name', 'address', 'really', 'mine', 'goods', 'using', 'services', 'using', 'services']","['guy', 'suddenly', 'ask', 'shareloc', 'org', 'even', 'though', 'good', 'use', 'except', 'last', 'week', 'order', 'finish', 'problem', 'name', 'name', 'address', 'really', 'mine', 'good', 'use', 'service', 'use', 'service']"
22,biasanya kalo sicepat ga bisa pick up tuh ada notif ga berhasil pick up disopinya tapi aku baru tau kalo diwa juga ada notif nya coba cek sopinya nya kak sama apa ga,Biasanya kalo ga bisa pick up tuh ada notif ga berhasil pick up disopinya tapi aku baru tau kalo diwa juga ada notif nya coba cek sopinya nya kak sama apa ga,"usually if you can't pick up there is a notification, it doesn't work up on the pick up but i just know that there is also a notification, try checking the sop, sis, or not",usually cant pick notification work pick know also notification try checking sop sis,"['usually', 'cant', 'pick', 'notification', 'work', 'pick', 'know', 'also', 'notification', 'try', 'checking', 'sop', 'sis']","['usually', 'cant', 'pick', 'notification', 'work', 'pick', 'know', 'also', 'notification', 'try', 'check', 'sop', 'si']"
23,guys ad yg tau gk ini apgimana kan admin gw pertama kali minta pick up in sicepat trnyta ad chat begini ini ap yak gw kagak paham juga soalnya skskks gk usah ditanggepin atoo bales ap,Guys ad yg tau gk ini apgimana Kan admin gw pertama kali minta pick up in trnyta ad chat begini ini ap yak gw kagak paham juga soalnya skskks gk usah ditanggepin atoo bales ap,"guys ad who knows this isn't this admin, i first asked for pick up in trnyta ad chat like this, i don't understand too, because the problem is that you don't need to be responded",guys ad knows admin first asked pick trnyta ad chat like this understand too problem need responded,"['guys', 'ad', 'knows', 'admin', 'first', 'asked', 'pick', 'trnyta', 'ad', 'chat', 'like', 'this', 'understand', 'too', 'problem', 'need', 'responded']","['guy', 'ad', 'know', 'admin', 'first', 'ask', 'pick', 'trnyta', 'ad', 'chat', 'like', 'this', 'understand', 'too', 'problem', 'need', 'respond']"
24,iya aku jg gini tp gada tanggapan dr cs sicepat,Iya aku jg gini tp gada tanggapan dr cs,yes i am also like this but there is no response from cs,yes also like response cs,"['yes', 'also', 'like', 'response', 'cs']","['yes', 'also', 'like', 'response', 'c']"
25,woeeee bales dong,Woeeee bales dong,woee replied,woee replied,"['woee', 'replied']","['woee', 'reply']"
26,tolong cek dm yaa,tolong cek DM yaa,please check dm,please check dm,"['please', 'check', 'dm']","['please', 'check', 'dm']"
27,gila gue ga sanggup lagi sama sicepat,gila gue ga sanggup lagi sama,crazy i can't be the same anymore,crazy cant anymore,"['crazy', 'cant', 'anymore']","['crazy', 'cant', 'anymore']"
28,shopee diselidiki soal monopoli apa kata anteraja jne sicepat,Shopee Diselidiki soal Monopoli Apa Kata,shopee is investigated about the monopoly what words,shopee investigated monopoly words,"['shopee', 'investigated', 'monopoly', 'words']","['shopee', 'investigate', 'monopoly', 'word']"
29,permisi min tolong cek pesanan dengan resi ini  pesanannya diantar ke alamat yang berbeda dengan yang dipesan oleh pembeli dan bukti fotonya juga blur oleh kurirnya,Permisi min tolong cek pesanan dengan resi ini Pesanannya diantar ke alamat yang berbeda dengan yang dipesan oleh pembeli dan bukti fotonya juga blur oleh kurirnya,"excuse me, please check the order with this receipt, the order is delivered to a different address from those ordered by the buyer and the proof of the photo is also blurred by the courier",excuse me please check order receipt order delivered different address ordered buyer proof photo also blurred courier,"['excuse', 'me', 'please', 'check', 'order', 'receipt', 'order', 'delivered', 'different', 'address', 'ordered', 'buyer', 'proof', 'photo', 'also', 'blurred', 'courier']","['excuse', 'me', 'please', 'check', 'order', 'receipt', 'order', 'deliver', 'different', 'address', 'order', 'buyer', 'proof', 'photo', 'also', 'blur', 'courier']"
30,want to sell wts sonny angel hippers crocodile looking back k harga aft svidincl adm with bnf unusedfresh pull ready ina pengiriman pilih sicepatjnejnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers animal harvest series,want to sell wts sonny angel hippers crocodile looking back k harga aft svidincl adm With bnf Unusedfresh pull Ready Ina Pengiriman pilih sicepatjnejnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers animal harvest series,want to sell wts sonny angel hippers crocodile looking back price aft svidincl adm with bnf unitedfresh pull ready ina delivery select sicepatjnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers,want sell wts sonny angel hippers crocodile looking back price aft svidincl adm bnf unitedfresh pull ready ina delivery select sicepatjnt tag sonny angel lfb songel unsealed wts wtb sell sonny angel hippers,"['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'crocodile', 'looking', 'back', 'price', 'aft', 'svidincl', 'adm', 'bnf', 'unitedfresh', 'pull', 'ready', 'ina', 'delivery', 'select', 'sicepatjnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'unsealed', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers']","['want', 'sell', 'wts', 'sonny', 'angel', 'hippers', 'crocodile', 'look', 'back', 'price', 'aft', 'svidincl', 'adm', 'bnf', 'unitedfresh', 'pull', 'ready', 'ina', 'delivery', 'select', 'sicepatjnt', 'tag', 'sonny', 'angel', 'lfb', 'songel', 'unsealed', 'wts', 'wtb', 'sell', 'sonny', 'angel', 'hippers']"
31,kurir ekspedisi yg biasanya pickup kerumah udah pada resign begitupun kurir yang suka nganter paket lupa kurir apa antara anteraja atau sicepat sopan bgt suka salam kalau mau nganter paket moga rejekinya berlimpah dan berkah sedih banget blm smpt ngasih hadiah ke mereka,kurir ekspedisi yg biasanya pickup kerumah udah pada resign begitupun kurir yang suka nganter paket lupa kurir apa antara atau sopan bgt suka salam kalau mau nganter paket moga rejekinya berlimpah dan berkah sedih banget blm smpt ngasih hadiah ke mereka,"expedition courier who usually pickup home already resigned as well as couriers who like to take packages for forgetting what courier is between or polite like greetings if you want to take a package, the fortune is abundant and blessing is really sad not to give a gift to them",expedition courier usually pickup home already resigned well couriers like take packages forgetting courier polite like greetings want take package fortune abundant blessing really sad give gift,"['expedition', 'courier', 'usually', 'pickup', 'home', 'already', 'resigned', 'well', 'couriers', 'like', 'take', 'packages', 'forgetting', 'courier', 'polite', 'like', 'greetings', 'want', 'take', 'package', 'fortune', 'abundant', 'blessing', 'really', 'sad', 'give', 'gift']","['expedition', 'courier', 'usually', 'pickup', 'home', 'already', 'resign', 'well', 'courier', 'like', 'take', 'package', 'forget', 'courier', 'polite', 'like', 'greeting', 'want', 'take', 'package', 'fortune', 'abundant', 'blessing', 'really', 'sad', 'give', 'gift']"
32,ness loket sicepat area unnes dmna ya,ness loket area Unnes dmna ya,ness locket area unnes dmna,ness locket area unnes dmna,"['ness', 'locket', 'area', 'unnes', 'dmna']","['ness', 'locket', 'area', 'unnes', 'dmna']"
33,info guys sekarang pengiriman memang pake anteraja aja tadinya pake sicepat amp anteraja tapi belakangan sicepat sering banget paket sampe pembeli dalam keadaan rusak pecah hilang tanpa keterangan kalo kasus hilang pas retur ini aku ga dapet ganti dari ekspedisi,INFO guys sekarang pengiriman memang pake aja tadinya pake amp tapi belakangan sering banget paket sampe pembeli dalam keadaan rusak pecah hilang tanpa keterangan kalo kasus hilang pas retur ini aku ga dapet ganti dari ekspedisi,"info guys now the shipping is just using amp, but lately the package is very often until the buyer is damaged broken without information if the case is lost when this return i can't change from the expedition",info guys shipping using amp lately package often buyer damaged broken without information case lost return cant change expedition,"['info', 'guys', 'shipping', 'using', 'amp', 'lately', 'package', 'often', 'buyer', 'damaged', 'broken', 'without', 'information', 'case', 'lost', 'return', 'cant', 'change', 'expedition']","['info', 'guy', 'shipping', 'use', 'amp', 'lately', 'package', 'often', 'buyer', 'damage', 'broken', 'without', 'information', 'case', 'lose', 'return', 'cant', 'change', 'expedition']"
34,disuruh drop di cabang yg jauhnya  jam menurut lu anjirrrrr yg bener aja lu sicepat,DISURUH DROP DI CABANG YG JAUHNYA JAM menurut lu anjirrrrr yg bener aja lu,told to drop in a branch that is far away according to you anjirr who is just right,told drop branch far away according anjirr right,"['told', 'drop', 'branch', 'far', 'away', 'according', 'anjirr', 'right']","['told', 'drop', 'branch', 'far', 'away', 'accord', 'anjirr', 'right']"
35,nggak ini bukan masalah harga barangnya harga barangnya nggak seberapa cuman gue nggak suka cara lu ngetreat customer lo kayak gini,Nggak Ini bukan masalah harga barangnya harga barangnya nggak seberapa cuman gue nggak suka cara lu ngetreat customer lo kayak gini,"this is not a matter of the price of the goods, the price of the goods is not much, i don't like the way you get your customer like this",matter price goods price goods much like way get customer like,"['matter', 'price', 'goods', 'price', 'goods', 'much', 'like', 'way', 'get', 'customer', 'like']","['matter', 'price', 'good', 'price', 'good', 'much', 'like', 'way', 'get', 'customer', 'like']"
36,sumpah bikin emosi lu nggak guna cs lu,Sumpah Bikin emosi lu nggak guna CS lu,i swear to make your emotions not use your cs,swear make emotions use cs,"['swear', 'make', 'emotions', 'use', 'cs']","['swear', 'make', 'emotion', 'use', 'c']"
37,sicepat kenapa jelek bgtttttt,KENAPA JELEK BGTTTTTT,why is it bad,bad,['bad'],['bad']
38,thanks bgt ya btw,thanks bgt ya btw,thanks so btw,thanks btw,"['thanks', 'btw']","['thanks', 'btw']"
39,paket saya  sjk tgl  ngg jalan knp,Paket saya sjk tgl ngg jalan knp,my package is not working on,package working,"['package', 'working']","['package', 'work']"
40,min kenapa paket saya yang  ini ga sampesampe ya malah keduluan sama yang baru dipesan resi,Min kenapa paket saya yang ini ga sampesampe ya malah keduluan sama yang baru dipesan resi,"min, why is my package not arriving, but it will be the same as the new receipt",min package arriving new receipt,"['min', 'package', 'arriving', 'new', 'receipt']","['min', 'package', 'arrive', 'new', 'receipt']"
41,kadang juga misal kalau sicepat kan ada sicepat regb ada juga sicepat halu nah beberapa daerah udah gak nyediain sicepat halu akhirnya harus pakai yg lain ini kejadian pas aku mau kirim barang ke buyer,Kadang juga misal kalau kan ada regb ada juga halu Nah beberapa daerah udah gak nyediain halu akhirnya harus pakai yg lain Ini kejadian pas aku mau kirim barang ke buyer,"sometimes also for example if there is a regb there are also halu, now some regions haven't provided halu, finally i have to use the other incident when i want to send items to the buyer",sometimes also example regb also halu regions provided halu finally use incident want send items buyer,"['sometimes', 'also', 'example', 'regb', 'also', 'halu', 'regions', 'provided', 'halu', 'finally', 'use', 'incident', 'want', 'send', 'items', 'buyer']","['sometimes', 'also', 'example', 'regb', 'also', 'halu', 'region', 'provide', 'halu', 'finally', 'use', 'incident', 'want', 'send', 'item', 'buyer']"
42,cek dm,cek dm,check dm,check dm,"['check', 'dm']","['check', 'dm']"
43,jelek lu,jelek lu,you're ugly,ugly,['ugly'],['ugly']
44,udah kebelet pipis malah minum banyak karna panik wkwk,udah kebelet pipis malah minum banyak karna panik wkwk,already dying to pee even drink a lot because panicked wkwk,already dying pee even drink lot panicked wkwk,"['already', 'dying', 'pee', 'even', 'drink', 'lot', 'panicked', 'wkwk']","['already', 'die', 'pee', 'even', 'drink', 'lot', 'panicked', 'wkwk']"
45,udah pickup telat  hari giliran didrop prosesnya masih lama juga jelek banget sicepat resekkkkkkk,udah pickup telat hari giliran didrop prosesnya masih lama juga jelek banget RESEKKKKKKK,already pickup late day the turn dropped the process is still a long time too bad resekk,already pickup late day turn dropped process still long time bad resekk,"['already', 'pickup', 'late', 'day', 'turn', 'dropped', 'process', 'still', 'long', 'time', 'bad', 'resekk']","['already', 'pickup', 'late', 'day', 'turn', 'drop', 'process', 'still', 'long', 'time', 'bad', 'resekk']"
46,pake sicepat best dari sudah hampir seminggu sampai sekarang masih belum sampai juga bagaimana ini min ,Pake best dari sudah hampir seminggu sampai sekarang masih belum sampai juga bagaimana ini min,using the best from almost a week until now still hasn't arrived how this is min,using best almost week still arrived min,"['using', 'best', 'almost', 'week', 'still', 'arrived', 'min']","['use', 'best', 'almost', 'week', 'still', 'arrive', 'min']"
47,want to sell mingyu pc help rtlikes jateng ina sicepatanteraja splitpay co video shopee good condi,Want To Sell Mingyu PC Help rtlikes Jateng INA SicepatAnteraja Splitpay CO video Shopee Good Condi,want to sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,want sell mingyu pc help rtlies jateng ina sicepatanteraja splitpay co video shopee good condi,"['want', 'sell', 'mingyu', 'pc', 'help', 'rtlies', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shopee', 'good', 'condi']","['want', 'sell', 'mingyu', 'pc', 'help', 'rtlies', 'jateng', 'ina', 'sicepatanteraja', 'splitpay', 'co', 'video', 'shopee', 'good', 'condi']"
48,emg tokopedia nih kurirnya bisa ganti gini dr sicepat jd jne,emg Tokopedia nih kurirnya bisa ganti gini dr jd,"emg tokopedia, the courier can change it from jd",emg tokopedia courier change jd,"['emg', 'tokopedia', 'courier', 'change', 'jd']","['emg', 'tokopedia', 'courier', 'change', 'jd']"
49,min tolong bantu cek paket dengan resi  dari hari senin stuck harusnya sudah sampai dari kemarin,min tolong bantu cek paket dengan resi dari hari senin stuck harusnya sudah sampai dari kemarin,"min, please help check the package with a receipt from monday stuck, it should have arrived from yesterday",min please help check package receipt monday stuck arrived yesterday,"['min', 'please', 'help', 'check', 'package', 'receipt', 'monday', 'stuck', 'arrived', 'yesterday']","['min', 'please', 'help', 'check', 'package', 'receipt', 'monday', 'stuck', 'arrive', 'yesterday']"
50,estimasi tgl  ya kak estimasi tgl  ya kak mohon ditunggu  x  jam hari kerja setelah laporan dibuat ya kak sicepat beneran kek tai,Estimasi tgl ya kak Estimasi tgl ya kak Mohon ditunggu x jam hari kerja setelah laporan dibuat ya kak beneran kek tai,"estimated date, sis, the estimated date, sis, please wait x hours of working days after the report is made, sis, really",estimated date sis estimated date sis please wait x hours working days report made sis really,"['estimated', 'date', 'sis', 'estimated', 'date', 'sis', 'please', 'wait', 'x', 'hours', 'working', 'days', 'report', 'made', 'sis', 'really']","['estimate', 'date', 'si', 'estimate', 'date', 'si', 'please', 'wait', 'x', 'hour', 'work', 'day', 'report', 'make', 'si', 'really']"
51,mau ngasih appreciation post untuk amp seller electronic gadget store beli barang hari minggu ngira bakal dianter selasa terus sampainya hari jum at but no terlampir langsung diproses hari itu juga followed with pengiriman yg cepet pol amp smooth,mau ngasih appreciation post untuk amp seller Electronic Gadget Store beli barang hari Minggu ngira bakal dianter Selasa terus sampainya hari Jum at but no terlampir langsung diproses hari itu juga followed with pengiriman yg cepet pol amp smooth,"want to give appreciation post for amp seller electronic gadget store to buy items on sunday, think that will be delivered tuesday and until the day of friday at but no attached directly that day is also followed with shipping that is fast pol.",want give appreciation post amp seller electronic gadget store buy items sunday think delivered tuesday day friday attached directly day also followed shipping fast pol,"['want', 'give', 'appreciation', 'post', 'amp', 'seller', 'electronic', 'gadget', 'store', 'buy', 'items', 'sunday', 'think', 'delivered', 'tuesday', 'day', 'friday', 'attached', 'directly', 'day', 'also', 'followed', 'shipping', 'fast', 'pol']","['want', 'give', 'appreciation', 'post', 'amp', 'seller', 'electronic', 'gadget', 'store', 'buy', 'item', 'sunday', 'think', 'deliver', 'tuesday', 'day', 'friday', 'attach', 'directly', 'day', 'also', 'follow', 'shipping', 'fast', 'pol']"
52,ini gimana yaaa paket dari tanggal  mei  sampai sekarang belum sampai balesan awal katanya direturn abis itu suruh nunggu sampai tanggal  juni hampir sebulan ini,ini gimana yaaa paket dari tanggal mei sampai sekarang belum sampai balesan awal katanya direturn abis itu suruh nunggu sampai tanggal juni hampir sebulan ini,"this is what the package from may until now hasn't arrived at the initial reply, he said, it was told to wait until june for almost a month",package may arrived initial reply said told wait june almost month,"['package', 'may', 'arrived', 'initial', 'reply', 'said', 'told', 'wait', 'june', 'almost', 'month']","['package', 'may', 'arrive', 'initial', 'reply', 'say', 'told', 'wait', 'june', 'almost', 'month']"
